vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,make_name,make_type,region,country,population,density,year_stolen,month_stolen,weekday_stolen
1,Trailer,623.0,2021.0,BST2021D,Silver,2021-11-05,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,11,Friday
2,Boat Trailer,623.0,2021.0,OUTBACK BOATS FT470,Silver,2021-12-13,105,Trailer,Standard,Gisborne,New Zealand,"52,100",6.21,2021,12,Monday
3,Boat Trailer,623.0,2021.0,ASD JETSKI,Silver,2022-02-13,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,2,Sunday
4,Trailer,623.0,2021.0,MSC 7X4,Silver,2021-11-13,106,Trailer,Standard,Hawke's Bay,New Zealand,"182,700",12.92,2021,11,Saturday
5,Trailer,623.0,2018.0,D-MAX 8X5,Silver,2022-01-10,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,1,Monday
6,Roadbike,636.0,2005.0,YZF-R6T,Black,2021-12-31,102,Yamaha,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,12,Friday
7,Trailer,623.0,2021.0,CAAR TRANSPORTER,Silver,2021-11-12,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2021,11,Friday
8,Boat Trailer,623.0,2001.0,BOAT,Silver,2022-02-22,109,Trailer,Standard,Wellington,New Zealand,"543,500",67.52,2022,2,Tuesday
9,Trailer,514.0,2021.0,"7X4-6"" 1000KG",Silver,2022-02-25,115,Briford,Standard,Otago,New Zealand,"246,000",7.89,2022,2,Friday
10,Trailer,514.0,2020.0,8X4 TANDEM,Silver,2022-01-03,114,Briford,Standard,Canterbury,New Zealand,"655,000",14.72,2022,1,Monday
11,Trailer,623.0,2018.0,HOMEBUILT,Silver,2021-10-15,108,Trailer,Standard,Manawatū-Whanganui,New Zealand,"258,200",11.62,2021,10,Friday
12,Trailer,538.0,2018.0,BRENT SMITH TRAILERS,Silver,2022-02-28,102,Factory Built,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,2,Monday
13,Moped,629.0,2004.0,ET2,Black,2021-12-19,102,Vespa,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,12,Sunday
14,Moped,550.0,2007.0,TODAY,Blue,2022-01-23,102,Honda,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,1,Sunday
15,Roadbike,611.0,2007.0,DL650,Black,2022-02-28,101,Suzuki,Standard,Northland,New Zealand,"201,500",16.11,2022,2,Monday
16,Trailer,623.0,2021.0,JOBMATE,Silver,2022-02-08,109,Trailer,Standard,Wellington,New Zealand,"543,500",67.52,2022,2,Tuesday
17,Trailer,623.0,2021.0,BSTB85B,Silver,2021-10-10,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,10,Sunday
18,Boat Trailer,623.0,2004.0,BOAT,White,2021-10-07,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2021,10,Thursday
19,Trailer,623.0,2014.0,DOMESTIC TRAILER,White,2022-02-24,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,2,Thursday
20,Boat Trailer,623.0,2018.0,APS SEADOO,Silver,2021-11-08,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2021,11,Monday
21,Roadbike,625.0,2002.0,THUNDERBIRD,Silver,2022-02-11,101,Triumph,Standard,Northland,New Zealand,"201,500",16.11,2022,2,Friday
22,Trailer,538.0,2000.0,BRENT SMITH TRAILERS,Silver,2021-11-22,104,Factory Built,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2021,11,Monday
23,Trailer,623.0,2015.0,LOCAL,Silver,2022-01-27,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,1,Thursday
24,Trailer - Heavy,623.0,2021.0,CT DIG 25,Silver,2021-11-12,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,11,Friday
25,Trailer,623.0,2018.0,CHOOKS 2.4X1.6 TRANS,Silver,2021-10-08,106,Trailer,Standard,Hawke's Bay,New Zealand,"182,700",12.92,2021,10,Friday
26,Trailer,623.0,2017.0,EASY TILT,Silver,2022-03-04,108,Trailer,Standard,Manawatū-Whanganui,New Zealand,"258,200",11.62,2022,3,Friday
27,Trailer,623.0,2018.0,IFOR WILLIAMS CT177,Silver,2022-02-27,103,Trailer,Standard,Waikato,New Zealand,"513,800",21.5,2022,2,Sunday
28,Trailer,623.0,2018.0,CONDOR,Silver,2022-02-01,109,Trailer,Standard,Wellington,New Zealand,"543,500",67.52,2022,2,Tuesday
29,Trailer,623.0,2018.0,HOMEBUILT,Silver,2021-11-01,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2021,11,Monday
30,Trailer,623.0,2018.0,PRO COMMERCIAL,Silver,2021-12-21,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,12,Tuesday
31,Trailer,623.0,2018.0,FACTORY,Grey,2022-01-03,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,1,Monday
32,Trailer,549.0,1998.0,TRAILER,Green,2021-10-21,114,Homebuilt,Standard,Canterbury,New Zealand,"655,000",14.72,2021,10,Thursday
33,Boat Trailer,623.0,2017.0,JFK JETSKI,Grey,2022-02-15,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,2,Tuesday
34,Trailer,623.0,2021.0,BST 2021D,Silver,2022-01-05,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,1,Wednesday
35,Trailer,514.0,2021.0,10X5 TANDEM,Silver,2022-04-05,114,Briford,Standard,Canterbury,New Zealand,"655,000",14.72,2022,4,Tuesday
36,Trailer,623.0,2018.0,HOMEMADE,Grey,2022-02-17,103,Trailer,Standard,Waikato,New Zealand,"513,800",21.5,2022,2,Thursday
37,Trailer,623.0,2018.0,COMPASS-KH63,Silver,2022-02-23,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,2,Wednesday
38,Trailer,623.0,2018.0,TRAYLA,Silver,2022-01-17,109,Trailer,Standard,Wellington,New Zealand,"543,500",67.52,2022,1,Monday
39,Trailer - Heavy,623.0,2021.0,PRESCOTT,Silver,2021-12-03,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2021,12,Friday
40,Trailer,549.0,2021.0,TRAILER,Black,2021-12-27,109,Homebuilt,Standard,Wellington,New Zealand,"543,500",67.52,2021,12,Monday
41,Trailer,623.0,2021.0,TRAYLA,Silver,2022-03-02,106,Trailer,Standard,Hawke's Bay,New Zealand,"182,700",12.92,2022,3,Wednesday
42,Trailer,623.0,2002.0,HOMEMADE,Silver,2022-01-02,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,1,Sunday
43,Boat Trailer,623.0,2018.0,BST58OR,Silver,2022-02-24,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,2,Thursday
44,Trailer,549.0,2018.0,TRAILER,Silver,2022-02-28,114,Homebuilt,Standard,Canterbury,New Zealand,"655,000",14.72,2022,2,Monday
45,Trailer,623.0,2014.0,DOMESTIC TRAILER,Silver,2021-10-19,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2021,10,Tuesday
46,Moped,538.0,2005.0,TGB PALIO,Silver,2021-11-09,106,Factory Built,Standard,Hawke's Bay,New Zealand,"182,700",12.92,2021,11,Tuesday
47,Trailer - Heavy,623.0,2004.0,TANDEM,Grey,2021-11-05,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,11,Friday
48,Trailer,527.0,2021.0,TRAILER,Silver,2022-03-02,102,Custombuilt,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Wednesday
49,Trailer,623.0,2021.0,DOMESTIC,Grey,2021-10-22,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,10,Friday
50,Trailer,623.0,2021.0,M J TANDEM AXLE,Silver,2022-01-20,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,1,Thursday
51,Trailer,514.0,2021.0,8X4 CAGE,Silver,2021-12-07,102,Briford,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,12,Tuesday
52,Caravan,537.0,2003.0,RIVIERA 482,White,2021-10-13,114,Elddis,Standard,Canterbury,New Zealand,"655,000",14.72,2021,10,Wednesday
53,Roadbike,636.0,1995.0,XTZ660BG,Blue,2022-03-21,111,Yamaha,Standard,Nelson,New Zealand,"54,500",129.15,2022,3,Monday
54,Roadbike,561.0,1999.0,NINJA,Green,2022-02-15,104,Kawasaki,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,2,Tuesday
55,Trailer - Heavy,623.0,2021.0,PRESCOTT,Silver,2022-02-06,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,2,Sunday
56,Trailer - Heavy,623.0,2000.0,BRIFORD,Yellow,2022-03-05,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Saturday
57,Boat Trailer,623.0,2021.0,ASD JETSKI,Silver,2022-02-21,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,2,Monday
58,Trailer,623.0,1997.0,BRIFORD 8X4-6COVERED,Yellow,2021-11-05,105,Trailer,Standard,Gisborne,New Zealand,"52,100",6.21,2021,11,Friday
59,Trailer,623.0,2021.0,HOMEBUILT,Black,2022-03-06,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Sunday
60,Trailer,623.0,1983.0,OLEARY,Red,2022-01-02,108,Trailer,Standard,Manawatū-Whanganui,New Zealand,"258,200",11.62,2022,1,Sunday
61,Trailer,623.0,2021.0,TRAILERWORLD 9X5 HSB,Silver,2022-03-26,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,3,Saturday
62,Trailer,623.0,2018.0,SINGLE AXLE,Silver,2021-10-10,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2021,10,Sunday
63,Moped,550.0,2008.0,TODAY 50,Yellow,2021-12-19,104,Honda,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2021,12,Sunday
64,Trailer,623.0,2018.0,IFOR WILLIAMS,Black,2022-01-06,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,1,Thursday
65,Trailer,623.0,2014.0,PRESCOTT,Silver,2022-03-24,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,3,Thursday
66,Boat Trailer,623.0,2014.0,SPORTLINE,Silver,2021-10-21,105,Trailer,Standard,Gisborne,New Zealand,"52,100",6.21,2021,10,Thursday
67,Hatchback,540.0,2006.0,FOCUS,Blue,2021-11-13,105,Ford,Standard,Gisborne,New Zealand,"52,100",6.21,2021,11,Saturday
68,Trailer - Heavy,623.0,2014.0,TILTING FLAT DECK,Silver,2021-11-08,105,Trailer,Standard,Gisborne,New Zealand,"52,100",6.21,2021,11,Monday
69,Trailer,623.0,2014.0,PMTRAILER,Silver,2022-01-24,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,1,Monday
70,Boat Trailer,551.0,2014.0,BOAT TRAILER,Silver,2022-04-04,103,Hoskings,Standard,Waikato,New Zealand,"513,800",21.5,2022,4,Monday
71,Trailer,623.0,2014.0,TRAYLA,Silver,2022-02-24,107,Trailer,Standard,Taranaki,New Zealand,"127,300",17.55,2022,2,Thursday
72,Trailer,623.0,2014.0,ELITE,Silver,2022-02-04,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,2,Friday
73,Trailer,623.0,2014.0,ELITE 7X4,Silver,2022-01-14,114,Trailer,Standard,Canterbury,New Zealand,"655,000",14.72,2022,1,Friday
74,Caravan,591.0,1969.0,PIONEER,White,2021-11-27,104,Oxford,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2021,11,Saturday
75,Saloon,512.0,2007.0,323I,White,2022-03-23,102,BMW,Luxury,Auckland,New Zealand,"1,695,200",343.09,2022,3,Wednesday
76,Trailer,623.0,2015.0,7 X 4 STD,Silver,2022-01-05,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,1,Wednesday
77,Trailer,623.0,2011.0,HOMEBUILT,Grey,2022-04-02,102,Trailer,Standard,Auckland,New Zealand,"1,695,200",343.09,2022,4,Saturday
78,Boat Trailer,623.0,2015.0,ENDURO,Silver,2022-01-06,104,Trailer,Standard,Bay of Plenty,New Zealand,"347,700",28.8,2022,1,Thursday
79,Trailer,623.0,2015.0,TRAYLA,Silver,2022-02-28,106,Trailer,Standard,Hawke's Bay,New Zealand,"182,700",12.92,2022,2,Monday
